f1,f2,ov_current,ov_fixed,ov_float,ia1_fixed,ia2_fixed,ia1_float,ia2_float,bbox_area,cf1_fixed_v,cf1_float_v,cf2_fixed_v,cf2_float_v,cf1_raw_area2,cf2_raw_area2,cf1_float_over,cf2_float_over,notes
6,9,1,1,0,52.500000,52.500000,0.000000,0.000000,105.000000,3,0,3,0,450971566080,450971566080,1,1,ov_fixed!=ov_float
6,43,0,1,0,52.500000,52.500000,0.000000,0.000000,105.000000,3,0,3,0,450971566080,450971566080,1,1,ov_fixed!=ov_float;cur!=fixed
6,44,1,1,0,81.651428,81.651428,0.000000,0.000000,105.000000,4,0,4,0,701380422908,701380422908,1,1,ov_fixed!=ov_float
6,45,0,1,0,7.585182,0.000000,0.000000,0.000000,105.000000,3,0,3,0,65156216805,0,1,0,ov_fixed!=ov_float;cur!=fixed
6,50,0,0,0,0.000000,0.000000,0.000000,0.000000,15.000000,3,0,3,0,0,0,0,0,
7,9,1,1,0,34.153800,1867.844258,0.000000,0.000000,105.000000,4,0,4,0,293378906156,16044660002978,1,1,ov_fixed!=ov_float
7,43,0,0,0,1867.844258,2091.804016,0.000000,0.000000,105.000000,4,0,4,0,16044660002978,17968459677696,1,1,
7,44,0,0,0,0.524560,2245.876953,0.000000,0.000000,105.000000,3,0,4,0,-4505935850,19291936129024,0,1,
7,45,0,1,0,85.846750,2615.756077,0.000000,0.000000,105.000000,4,0,4,0,-737417969279,22469173607522,1,1,ov_fixed!=ov_float;cur!=fixed
9,43,0,0,0,2615.756077,2615.756077,0.000000,0.000000,1344.000000,4,0,4,0,22469173607522,22469173607522,1,1,
9,44,1,1,0,1322.783478,0.000000,0.000000,0.000000,1848.000000,4,0,3,0,11362623553536,0,1,0,ov_fixed!=ov_float
9,45,0,0,0,3382.663116,0.000000,0.000000,0.000000,1512.000000,3,0,3,0,-29056854916768,0,1,0,
9,50,0,0,0,0.000000,0.000000,0.000000,0.000000,560.000000,3,0,3,0,0,0,0,0,
12,43,0,1,0,2411.686481,50.878499,0.000000,0.000000,1995.000000,5,0,3,0,20716229127342,437042976239,1,1,ov_fixed!=ov_float;cur!=fixed
12,44,0,1,0,50.878499,50.878499,0.000000,0.000000,306.000000,3,0,3,0,437042976239,437042976239,1,1,ov_fixed!=ov_float;cur!=fixed
12,50,1,0,0,0.000000,0.000000,0.000000,0.000000,3150.000000,3,0,3,0,0,0,0,0,cur!=fixed
12,58,0,0,0,0.000000,0.000000,0.000000,0.000000,40.000000,4,0,4,0,0,0,0,0,
13,15,1,1,1,817.486542,259.219618,207.318381,0.000000,315.000000,8,3,5,0,7022155923382,2226679567098,0,1,
13,18,1,1,0,0.000000,141.513092,0.000000,0.000000,310.000000,3,0,4,0,0,1215588204544,0,1,ov_fixed!=ov_float
13,52,0,0,0,141.513092,141.513092,0.000000,0.000000,135.000000,4,0,4,0,1215588204544,1215588204544,1,1,
13,60,0,0,0,1776.127612,1776.127612,0.000000,0.000000,51.000000,3,0,3,0,-15256820014874,-15256820014874,1,1,
15,18,0,0,0,1776.127612,1776.127612,0.000000,0.000000,80.000000,3,0,3,0,-15256820014874,-15256820014874,1,1,
19,20,0,0,0,1776.127612,1776.127612,0.000000,0.000000,84.000000,3,0,3,0,-15256820014874,-15256820014874,1,1,
19,21,0,0,0,1776.127612,1776.127612,0.000000,0.000000,72.000000,3,0,3,0,-15256820014874,-15256820014874,1,1,
19,26,0,0,0,1776.127612,1776.127612,0.000000,0.000000,15.000000,3,0,3,0,-15256820014874,-15256820014874,1,1,
